"Region","Year","Age Range","Alcohol Use","Measure Type","Variable","Value"
"Eastern Region","2008-2010","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",5.21
"Eastern Region","2008-2010","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",26.72
"Eastern Region","2008-2010","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.77
"Eastern Region","2008-2010","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.26
"Eastern Region","2008-2010","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.09
"Eastern Region","2008-2010","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.47
"Eastern Region","2008-2010","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.92
"Eastern Region","2008-2010","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Eastern Region","2008-2010","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2008-2010","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",23.29
"Eastern Region","2008-2010","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",4.01
"Eastern Region","2010-2012","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.37
"Eastern Region","2010-2012","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.5
"Eastern Region","2010-2012","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",3.83
"Eastern Region","2010-2012","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.28
"Eastern Region","2010-2012","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",18.84
"Eastern Region","2010-2012","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",4.02
"Eastern Region","2010-2012","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",8.44
"Eastern Region","2010-2012","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.16
"Eastern Region","2010-2012","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",7.64
"Eastern Region","2010-2012","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",2.45
"Eastern Region","2010-2012","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",15.55
"Eastern Region","2010-2012","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",3.1
"Eastern Region","2010-2012","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",68.06
"Eastern Region","2010-2012","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",4.86
"Eastern Region","2010-2012","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",47.93
"Eastern Region","2010-2012","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",5.16
"Eastern Region","2010-2012","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.71
"Eastern Region","2010-2012","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.12
"Eastern Region","2010-2012","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.93
"Eastern Region","2010-2012","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.75
"Eastern Region","2010-2012","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",63.14
"Eastern Region","2010-2012","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",4.46
"Eastern Region","2010-2012","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",27.1
"Eastern Region","2010-2012","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.26
"Eastern Region","2010-2012","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.87
"Eastern Region","2010-2012","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.12
"Eastern Region","2010-2012","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.29
"Eastern Region","2010-2012","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.81
"Eastern Region","2010-2012","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",62.08
"Eastern Region","2010-2012","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",5.05
"Eastern Region","2010-2012","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",22.6
"Eastern Region","2010-2012","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.54
"Eastern Region","2012-2014","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.03
"Eastern Region","2012-2014","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.45
"Eastern Region","2012-2014","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",3.03
"Eastern Region","2012-2014","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.06
"Eastern Region","2012-2014","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",14.54
"Eastern Region","2012-2014","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",3.06
"Eastern Region","2012-2014","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",6.91
"Eastern Region","2012-2014","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",1.82
"Eastern Region","2012-2014","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",7.36
"Eastern Region","2012-2014","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",2.27
"Eastern Region","2012-2014","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",15.08
"Eastern Region","2012-2014","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",3.37
"Eastern Region","2012-2014","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",65.48
"Eastern Region","2012-2014","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",5.12
"Eastern Region","2012-2014","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",45.13
"Eastern Region","2012-2014","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",5.46
"Eastern Region","2012-2014","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",4.12
"Eastern Region","2012-2014","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.21
"Eastern Region","2012-2014","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",8.27
"Eastern Region","2012-2014","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.58
"Eastern Region","2012-2014","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",65.15
"Eastern Region","2012-2014","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",4.62
"Eastern Region","2012-2014","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",26.51
"Eastern Region","2012-2014","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.3
"Eastern Region","2012-2014","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.44
"Eastern Region","2012-2014","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.24
"Eastern Region","2012-2014","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.84
"Eastern Region","2012-2014","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.61
"Eastern Region","2012-2014","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",65.08
"Eastern Region","2012-2014","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",5.17
"Eastern Region","2012-2014","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",22.58
"Eastern Region","2012-2014","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.55
"Eastern Region","2014-2016","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Eastern Region","2014-2016","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Eastern Region","2014-2016","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",2.85
"Eastern Region","2014-2016","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.08
"Eastern Region","2014-2016","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",11.39
"Eastern Region","2014-2016","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",2.68
"Eastern Region","2014-2016","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Eastern Region","2014-2016","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Eastern Region","2014-2016","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Eastern Region","2014-2016","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Eastern Region","2014-2016","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",12.76
"Eastern Region","2014-2016","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",3.48
"Eastern Region","2014-2016","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Eastern Region","2014-2016","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2014-2016","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Eastern Region","2014-2016","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Eastern Region","2014-2016","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Eastern Region","2014-2016","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Eastern Region","2014-2016","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.93
"Eastern Region","2014-2016","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.7
"Eastern Region","2014-2016","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",62.41
"Eastern Region","2014-2016","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",4.41
"Eastern Region","2014-2016","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Eastern Region","2014-2016","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Eastern Region","2014-2016","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Eastern Region","2014-2016","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Eastern Region","2014-2016","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.69
"Eastern Region","2014-2016","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.62
"Eastern Region","2014-2016","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",61.63
"Eastern Region","2014-2016","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",4.8
"Eastern Region","2014-2016","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Eastern Region","2014-2016","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"North Central Region","2004-2006","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.15
"North Central Region","2004-2006","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.97
"North Central Region","2004-2006","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.68
"North Central Region","2004-2006","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.68
"North Central Region","2004-2006","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",19.04
"North Central Region","2004-2006","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",3.36
"North Central Region","2004-2006","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",11.4
"North Central Region","2004-2006","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.47
"North Central Region","2004-2006","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",8.92
"North Central Region","2004-2006","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",2.53
"North Central Region","2004-2006","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",20.26
"North Central Region","2004-2006","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",3.72
"North Central Region","2004-2006","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",72
"North Central Region","2004-2006","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",4.1
"North Central Region","2004-2006","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",46.67
"North Central Region","2004-2006","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",4.78
"North Central Region","2004-2006","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",4.14
"North Central Region","2004-2006","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.2
"North Central Region","2004-2006","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",8.49
"North Central Region","2004-2006","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.8
"North Central Region","2004-2006","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",63.57
"North Central Region","2004-2006","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",4.4
"North Central Region","2004-2006","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",25.95
"North Central Region","2004-2006","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.33
"North Central Region","2004-2006","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.44
"North Central Region","2004-2006","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.28
"North Central Region","2004-2006","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.77
"North Central Region","2004-2006","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.94
"North Central Region","2004-2006","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",62.34
"North Central Region","2004-2006","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",4.91
"North Central Region","2004-2006","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",22.91
"North Central Region","2004-2006","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.62
"North Central Region","2006-2008","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.32
"North Central Region","2006-2008","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.8
"North Central Region","2006-2008","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.31
"North Central Region","2006-2008","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.65
"North Central Region","2006-2008","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",17.87
"North Central Region","2006-2008","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",2.93
"North Central Region","2006-2008","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",12.45
"North Central Region","2006-2008","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.58
"North Central Region","2006-2008","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",8.51
"North Central Region","2006-2008","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",2.32
"North Central Region","2006-2008","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",18.99
"North Central Region","2006-2008","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",3.42
"North Central Region","2006-2008","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",70.77
"North Central Region","2006-2008","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",4.19
"North Central Region","2006-2008","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",47.37
"North Central Region","2006-2008","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",4.96
"North Central Region","2006-2008","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.84
"North Central Region","2006-2008","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.98
"North Central Region","2006-2008","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.84
"North Central Region","2006-2008","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.48
"North Central Region","2006-2008","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",65.57
"North Central Region","2006-2008","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",3.89
"North Central Region","2006-2008","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",25.88
"North Central Region","2006-2008","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.08
"North Central Region","2006-2008","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.13
"North Central Region","2006-2008","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.99
"North Central Region","2006-2008","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.14
"North Central Region","2006-2008","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.47
"North Central Region","2006-2008","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",64.78
"North Central Region","2006-2008","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",4.25
"North Central Region","2006-2008","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",22.61
"North Central Region","2006-2008","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.28
"North Central Region","2008-2010","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.83
"North Central Region","2008-2010","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.73
"North Central Region","2008-2010","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5
"North Central Region","2008-2010","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.33
"North Central Region","2008-2010","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",17.51
"North Central Region","2008-2010","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",2.92
"North Central Region","2008-2010","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",11.36
"North Central Region","2008-2010","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.3
"North Central Region","2008-2010","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",6.36
"North Central Region","2008-2010","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.67
"North Central Region","2008-2010","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",17.67
"North Central Region","2008-2010","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",3.03
"North Central Region","2008-2010","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",68.75
"North Central Region","2008-2010","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",4.37
"North Central Region","2008-2010","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",46.26
"North Central Region","2008-2010","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",4.64
"North Central Region","2008-2010","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.33
"North Central Region","2008-2010","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.86
"North Central Region","2008-2010","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.66
"North Central Region","2008-2010","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.43
"North Central Region","2008-2010","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",63.59
"North Central Region","2008-2010","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",3.77
"North Central Region","2008-2010","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",27.6
"North Central Region","2008-2010","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.25
"North Central Region","2008-2010","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.86
"North Central Region","2008-2010","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.94
"North Central Region","2008-2010","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.11
"North Central Region","2008-2010","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.49
"North Central Region","2008-2010","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",62.79
"North Central Region","2008-2010","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",4.14
"North Central Region","2008-2010","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",24.7
"North Central Region","2008-2010","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.51
"North Central Region","2010-2012","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.22
"North Central Region","2010-2012","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.46
"North Central Region","2010-2012","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",3.55
"North Central Region","2010-2012","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.16
"North Central Region","2010-2012","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",16.13
"North Central Region","2010-2012","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",2.98
"North Central Region","2010-2012","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",7.3
"North Central Region","2010-2012","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",1.76
"North Central Region","2010-2012","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",6.49
"North Central Region","2010-2012","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",2
"North Central Region","2010-2012","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",15.16
"North Central Region","2010-2012","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",2.81
"North Central Region","2010-2012","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",67.95
"North Central Region","2010-2012","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",4.48
"North Central Region","2010-2012","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",44.23
"North Central Region","2010-2012","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",4.8
"North Central Region","2010-2012","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.94
"North Central Region","2010-2012","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.92
"North Central Region","2010-2012","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.94
"North Central Region","2010-2012","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.54
"North Central Region","2010-2012","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",63.22
"North Central Region","2010-2012","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",4.11
"North Central Region","2010-2012","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",24.81
"North Central Region","2010-2012","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.16
"North Central Region","2010-2012","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.41
"North Central Region","2010-2012","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.97
"North Central Region","2010-2012","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.71
"North Central Region","2010-2012","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.6
"North Central Region","2010-2012","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",62.52
"North Central Region","2010-2012","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",4.54
"North Central Region","2010-2012","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",21.91
"North Central Region","2010-2012","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.39
"North Central Region","2012-2014","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",0.92
"North Central Region","2012-2014","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.38
"North Central Region","2012-2014","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",2.7
"North Central Region","2012-2014","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.89
"North Central Region","2012-2014","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",13.37
"North Central Region","2012-2014","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",2.5
"North Central Region","2012-2014","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",6.34
"North Central Region","2012-2014","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",1.53
"North Central Region","2012-2014","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",6.06
"North Central Region","2012-2014","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.87
"North Central Region","2012-2014","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",13.62
"North Central Region","2012-2014","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",2.89
"North Central Region","2012-2014","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",64.88
"North Central Region","2012-2014","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",4.71
"North Central Region","2012-2014","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",42.59
"North Central Region","2012-2014","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",4.97
"North Central Region","2012-2014","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.27
"North Central Region","2012-2014","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.9
"North Central Region","2012-2014","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.43
"North Central Region","2012-2014","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.36
"North Central Region","2012-2014","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",65.44
"North Central Region","2012-2014","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",4.02
"North Central Region","2012-2014","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",25.14
"North Central Region","2012-2014","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.87
"North Central Region","2012-2014","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.84
"North Central Region","2012-2014","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.91
"North Central Region","2012-2014","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.48
"North Central Region","2012-2014","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.4
"North Central Region","2012-2014","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",65.53
"North Central Region","2012-2014","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",4.37
"North Central Region","2012-2014","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",22.47
"North Central Region","2012-2014","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.1
"North Central Region","2014-2016","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"North Central Region","2014-2016","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"North Central Region","2014-2016","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",2.49
"North Central Region","2014-2016","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.87
"North Central Region","2014-2016","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",10.9
"North Central Region","2014-2016","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",2.37
"North Central Region","2014-2016","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"North Central Region","2014-2016","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"North Central Region","2014-2016","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"North Central Region","2014-2016","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
